,UserID,Age,Gender,Location,Income,Profession,Demographics,Platform,Total Time Spent,Video Category,Video Length,Time Spent On Video,Frequency,Satisfaction,Watch Reason,Watch Time,Addiction Level,Generation,Income Group
0,1,56,Male,Pakistan,82812,Engineer,Rural,Instagram,80,Pranks,24,26,Night,7,Procrastination,9:00 PM,5,Gen X,Upper-Middle Income
1,2,46,Female,Mexico,27999,Artist,Urban,Instagram,228,Pranks,19,25,Afternoon,5,Habit,5:00 PM,3,Gen X,Low Income
2,3,32,Female,United States,42436,Engineer,Rural,Facebook,30,Vlogs,19,9,Evening,4,Entertainment,2:00 PM,2,Millenials,Lower-Middle Income
3,4,60,Male,Barzil,62963,Waiting staff,Rural,YouTube,101,Vlogs,4,6,Night,7,Habit,9:00 PM,5,Baby Boomers,Middle Income
4,5,25,Male,Pakistan,22096,Manager,Urban,TikTok,136,Gaming,19,13,Morning,2,Boredom,8:00 AM,0,Gen Z,Low Income
5,6,38,Male,Vietnam,45279,driver,Urban,Instagram,89,Jokes/Memes,9,27,Night,7,Entertainment,9:00 PM,5,Millenials,Lower-Middle Income
6,7,56,Male,India,46201,Students,Rural,TikTok,247,Vlogs,16,22,Morning,2,Habit,8:00 AM,0,Gen X,Lower-Middle Income
7,8,36,Male,Barzil,39715,Engineer,Rural,Instagram,191,Entertainment,27,28,Night,7,Entertainment,9:00 PM,5,Millenials,Lower-Middle Income
8,9,40,Male,United States,49309,Waiting staff,Rural,Instagram,34,Vlogs,4,20,Night,7,Entertainment,9:00 PM,5,Millenials,Lower-Middle Income
9,10,28,Other,United States,35078,Students,Rural,YouTube,165,ASMR,6,4,Evening,4,Boredom,2:00 PM,2,Millenials,Low Income
10,11,28,Male,Indonesia,76614,Manager,Rural,Instagram,14,Pranks,8,2,Afternoon,5,Boredom,5:00 PM,3,Millenials,Middle Income
11,12,41,Other,Philippines,25105,Labor/Worker,Urban,TikTok,129,Life Hacks,27,26,Evening,4,Habit,2:00 PM,2,Millenials,Low Income
12,13,53,Male,Japan,22839,Waiting staff,Rural,Instagram,286,Gaming,29,4,Afternoon,5,Habit,5:00 PM,3,Gen X,Low Income
13,14,57,Male,Indonesia,88920,Waiting staff,Rural,Facebook,27,Vlogs,24,8,Evening,4,Entertainment,2:00 PM,2,Gen X,Upper-Middle Income
14,15,41,Other,Vietnam,63619,Cashier,Rural,YouTube,207,Gaming,16,13,Evening,4,Boredom,2:00 PM,2,Millenials,Middle Income
15,16,20,Female,Philippines,62821,Students,Rural,YouTube,66,Entertainment,5,10,Evening,4,Entertainment,2:00 PM,2,Gen Z,Middle Income
16,17,39,Female,Mexico,33493,Waiting staff,Rural,Facebook,102,ASMR,21,18,Afternoon,5,Habit,5:00 PM,3,Millenials,Low Income
17,18,19,Female,Barzil,37069,Students,Rural,Facebook,28,ASMR,22,9,Evening,4,Habit,2:00 PM,2,Gen Z,Low Income
18,19,41,Other,Japan,27531,Labor/Worker,Rural,Facebook,202,Pranks,10,1,Evening,4,Entertainment,2:00 PM,2,Millenials,Low Income
19,20,61,Male,United States,57051,Labor/Worker,Urban,Instagram,246,Vlogs,23,13,Morning,2,Habit,8:00 AM,0,Baby Boomers,Lower-Middle Income
20,21,47,Male,India,27736,Waiting staff,Rural,YouTube,286,Vlogs,13,18,Afternoon,5,Habit,5:00 PM,3,Gen X,Low Income
21,22,55,Male,Barzil,27710,driver,Rural,Facebook,236,Entertainment,29,15,Afternoon,5,Boredom,5:00 PM,3,Gen X,Low Income
22,23,19,Female,Indonesia,87155,Students,Rural,Instagram,242,Entertainment,26,2,Night,7,Boredom,9:00 PM,5,Gen Z,Upper-Middle Income
23,24,38,Female,India,33975,Waiting staff,Urban,Facebook,49,Pranks,14,11,Evening,4,Habit,2:00 PM,2,Millenials,Low Income
24,25,50,Male,Germany,82424,Waiting staff,Rural,TikTok,162,Jokes/Memes,7,29,Evening,4,Boredom,2:00 PM,2,Gen X,Upper-Middle Income
25,26,29,Male,Japan,65603,Labor/Worker,Urban,TikTok,136,Jokes/Memes,29,14,Afternoon,5,Entertainment,5:00 PM,3,Millenials,Middle Income
26,27,39,Male,Japan,43252,Students,Rural,YouTube,246,Gaming,20,22,Evening,4,Habit,2:00 PM,2,Millenials,Lower-Middle Income
27,28,61,Other,Vietnam,21431,Manager,Urban,Instagram,64,Life Hacks,6,15,Night,7,Habit,9:00 PM,5,Baby Boomers,Low Income
28,29,42,Female,India,94603,Labor/Worker,Rural,TikTok,181,Entertainment,7,14,Evening,4,Boredom,2:00 PM,2,Millenials,High Income
29,30,44,Male,India,57481,driver,Urban,TikTok,118,Pranks,5,16,Evening,4,Entertainment,2:00 PM,2,Gen X,Lower-Middle Income
30,31,59,Male,United States,29557,driver,Rural,Instagram,193,Pranks,21,23,Morning,2,Habit,8:00 AM,0,Gen X,Low Income
31,32,45,Male,United States,94971,Students,Rural,Facebook,207,Jokes/Memes,18,29,Afternoon,5,Habit,5:00 PM,3,Gen X,High Income
32,33,33,Male,India,20162,Labor/Worker,Rural,Instagram,96,Trends,23,15,Night,7,Boredom,9:00 PM,5,Millenials,Low Income
33,34,32,Other,Mexico,54742,Waiting staff,Rural,Facebook,210,Trends,12,19,Evening,4,Entertainment,2:00 PM,2,Millenials,Lower-Middle Income
34,35,64,Female,Vietnam,39675,Students,Rural,TikTok,284,Entertainment,6,27,Evening,4,Entertainment,2:00 PM,2,Baby Boomers,Lower-Middle Income
35,36,61,Other,Mexico,93997,Students,Urban,TikTok,220,Jokes/Memes,27,9,Night,7,Procrastination,9:00 PM,5,Baby Boomers,High Income
36,37,20,Male,United States,37015,Labor/Worker,Rural,TikTok,127,Entertainment,1,5,Night,7,Entertainment,9:00 PM,5,Gen Z,Low Income
37,38,54,Male,Philippines,70057,Students,Urban,YouTube,200,Jokes/Memes,4,5,Afternoon,5,Boredom,5:00 PM,3,Gen X,Middle Income
38,39,24,Male,Barzil,52591,Cashier,Rural,YouTube,51,Jokes/Memes,19,11,Night,7,Habit,9:00 PM,5,Gen Z,Lower-Middle Income
39,40,38,Male,Germany,29833,Students,Rural,YouTube,51,ASMR,12,28,Afternoon,5,Boredom,5:00 PM,3,Millenials,Low Income
40,41,26,Male,Pakistan,27896,Waiting staff,Urban,Instagram,285,Comedy,15,20,Evening,4,Boredom,2:00 PM,2,Gen Z,Low Income
